Precentral_L,Precentral_R,Supp_Motor_Area_L,Supp_Motor_Area_R,Postcentral_L,Postcentral_R,Paracentral_Lobule_L,Paracentral_Lobule_R,Cerebelum_Crus1_L,Cerebelum_Crus1_R,Cerebelum_Crus2_L,Cerebelum_Crus2_R,Cerebelum_3_L,Cerebelum_3_R,Cerebelum_4_5_L,Cerebelum_4_5_R,Cerebelum_6_L,Cerebelum_6_R,Cerebelum_7b_L,Cerebelum_7b_R,Cerebelum_8_L,Cerebelum_8_R,Cerebelum_9_L,Cerebelum_9_R,Cerebelum_10_L,Cerebelum_10_R
-0.026679676,-0.10334434,0.069614016,0.07367138,-0.048074443,-0.040106583,0.027734725,-0.12012492,-0.09444456,-0.07669629,-0.082431175,0.035140213,-0.0029087183,0.054500006,0.0109348,0.001835951,-0.099621676,-0.060135625,-0.09621063,0.027716413,-0.082350604,-0.0071697105,-0.07213878,0.0015315941,-0.12711121,-0.05739193
-1.3786242,-0.3612683,-0.46761644,0.53963333,-0.15803875,0.21543413,-1.2446516,-0.897634,0.40338096,0.6965343,0.68664384,-1.6335338,-1.8058103,-2.8455486,-1.0130241,-0.00041221833,-0.6508551,0.6294065,0.028965292,0.71023375,1.0170629,-0.86725235,-0.10142565,-0.64920723,-0.0651305,-1.2704283
-2.2977133,-1.4540914,-0.08783117,0.21551405,-0.96350086,-0.39195758,-1.3539152,-1.8901669,-0.45014012,-0.4276123,-0.15350042,-0.20587222,-0.33327943,-1.2872556,0.2415166,-1.2394027,-0.9612051,-0.35468677,-0.46457425,0.08950772,0.32060686,-2.0161774,-1.0791773,-1.3620872,-0.48240796,-0.07397879
-1.8335204,-2.0917249,-0.088054016,-0.35845646,-1.1256397,-0.5686812,-1.0877057,-2.0198467,-1.705999,-1.8216623,-1.4348665,1.3439944,2.683863,0.7784155,1.502786,-2.346801,-1.2586154,-1.5464984,-1.0503651,-0.949905,-1.1684365,-2.5692353,-1.6699752,-2.1041281,-1.167809,1.1162494
-0.43053642,-1.0340834,-1.3454865,0.3668085,0.072570205,0.5403446,-1.6190583,-0.65641046,-1.6068867,-1.2169486,-1.2484502,-0.34349203,2.8276072,-1.0156248,0.10895094,-1.7564021,-1.3192173,-1.1285948,-0.9070935,-1.0224649,-1.4198195,-1.5090656,-0.48543093,-1.7899207,-1.1879936,0.025260007
0.034801286,0.4275446,-2.2975874,2.364204,0.88221896,1.3545778,-2.3288183,0.91746074,-0.31113,0.4125165,0.03276044,-2.6097264,0.015654262,-3.3215547,-1.8877991,-0.60243917,-0.64780307,-0.07969584,-0.10133478,-0.47310084,-0.45435324,0.3968842,1.378902,0.20232938,-0.17434958,-1.1086035
-0.61728674,0.55479074,-1.62968,3.103282,0.17693406,0.757313,-1.8418075,1.4575205,0.571542,0.7081417,0.7212801,-1.8289001,-1.3175178,-2.0821114,-1.299841,-0.67740524,0.20275389,-0.061707396,0.6082183,-0.27992654,0.25442046,1.1200765,1.8348144,1.9156475,0.8777899,-0.25411808
-0.5928457,0.05972024,-0.36412057,1.1519538,-0.6343174,-0.085806765,-0.34788433,1.5223882,0.61190933,-0.1791826,0.5409687,0.25276908,0.08397711,0.27143198,0.70687395,-1.3065689,0.37243786,-0.6410035,0.77763385,-0.37961388,0.13536419,0.25086525,0.6424247,1.5368085,1.0918072,0.79887825
0.38488936,0.3813526,0.08249783,-1.3379408,-0.45184633,-0.42856607,0.6569612,1.6815386,0.8209252,-0.24185216,0.5733533,0.5608853,0.69934356,0.36841467,1.1393857,-0.84438676,0.19853806,-0.58416563,0.7491531,-0.36308724,-0.44051424,-0.28186655,-0.45838466,0.6209832,0.89931625,0.49841672
0.6346716,0.8257641,-0.24836266,-1.9430194,-0.14663862,-0.9567486,0.526583,1.0055696,1.3081892,0.7783307,1.053225,0.029347464,-0.60910314,-0.45671064,0.19482073,0.20139796,0.20543563,-0.0059049614,0.8080035,-0.2322357,-1.1076831,0.5332861,-0.29530355,0.9034333,0.6691725,-0.021644784
-0.11753144,0.12285223,-0.6466432,-1.1691732,-0.36442235,-1.4161812,0.09700513,-0.80891883,0.9311275,1.0524609,0.99740195,0.4334859,-0.893675,-0.07673762,-0.18118885,0.2165206,0.022083364,0.27907756,0.50466996,0.08702038,-1.2623508,0.9100586,0.19646928,0.8181072,-0.082274586,-0.14855276
-0.29778484,-0.9608334,-0.66935396,-0.55981445,-0.4305897,-0.8553103,0.24456558,-1.9854382,-0.3316346,-0.06734105,0.07663847,0.6868707,0.6928942,0.77547264,0.04754261,-0.4264831,-0.32661104,0.28962293,-0.27231577,0.57906,-0.42728272,-0.45576593,-0.16707285,-0.99393183,-1.1388798,-0.7283599
0.46668813,-1.046585,-0.10825528,-0.34892532,0.093098186,0.061170388,0.6718322,-1.2358875,-1.0704206,-1.0248008,-0.8057237,-0.25838336,1.5602406,1.0797955,-0.019260604,-0.11082513,-0.15150738,0.4962373,-0.7102436,0.7305531,0.57262856,-1.716038,-0.8692832,-2.5042512,-1.4620762,-1.4235507
0.8047205,-0.41431388,0.60542136,-0.12639749,0.68008053,0.17911981,0.38031155,0.15985778,-0.8357241,-0.8788214,-1.0027424,-0.91835284,0.66613895,1.1700572,-0.046603158,0.8003468,0.19662438,0.6103641,-0.56320626,0.28578955,0.46021727,-1.1173066,-1.0641109,-2.0374951,-1.1099674,-1.0210799
0.08696847,-0.055154756,0.38052112,0.17279685,0.7197693,0.04312948,-0.8067686,0.4190491,-0.5062949,-0.5521939,-0.74283916,-0.15676242,-0.3480637,0.8571749,0.31777227,0.4316935,-0.2277548,0.06778069,-0.57488257,-0.3450216,-0.5282197,-0.23129155,-1.0840772,-1.0748883,-0.91831267,0.11133539
-0.67263705,-0.13987818,-0.7213439,0.36248407,0.2953429,0.46794358,-1.6024582,-0.1724148,-0.45007277,-0.63273627,-0.36116824,0.72773993,-0.49966052,-0.48768908,0.23108856,-1.0229456,-0.92896086,-0.63186824,-0.81330925,-0.7886487,-1.0179197,-0.87563324,-1.119381,-0.9706603,-0.69815916,0.65892005
-0.32952002,-0.40279123,-0.77622193,0.3682817,0.20324975,0.86322415,-0.7666073,-0.18470463,-0.38686097,-0.53222317,-0.10864484,0.5686735,-0.19111188,-1.7928907,-0.4473754,-1.2329354,-0.7466246,-0.4864215,-0.53227836,-0.8065388,-0.38922843,-1.5969161,-0.47096363,-1.0142863,-0.15155207,0.50372016
0.9146683,-0.61430764,1.0249957,0.49448216,0.8949183,0.6643443,1.0395273,0.40943027,-0.32671535,-0.16018066,-0.21762681,0.15049401,0.29907757,-1.2843854,-0.24518447,0.44662392,0.09602269,0.36284125,0.21743686,-0.039686732,0.76436603,-0.43664497,0.78560114,-0.7745776,-0.11223166,0.43311265
1.5034295,-0.35233593,2.4726517,0.88410294,1.3210359,0.2600285,1.983995,0.32681885,-0.11280629,0.0066648484,-0.3216132,0.021849498,0.43145648,0.5083174,1.1772846,1.9998863,0.7014957,0.9265286,0.6979796,1.1230161,1.5214542,1.4909245,1.4555616,-0.5012694,-0.6028136,0.58627886
