Precentral_L,Precentral_R,Supp_Motor_Area_L,Supp_Motor_Area_R,Postcentral_L,Postcentral_R,Paracentral_Lobule_L,Paracentral_Lobule_R,Cerebelum_Crus1_L,Cerebelum_Crus1_R,Cerebelum_Crus2_L,Cerebelum_Crus2_R,Cerebelum_3_L,Cerebelum_3_R,Cerebelum_4_5_L,Cerebelum_4_5_R,Cerebelum_6_L,Cerebelum_6_R,Cerebelum_7b_L,Cerebelum_7b_R,Cerebelum_8_L,Cerebelum_8_R,Cerebelum_9_L,Cerebelum_9_R,Cerebelum_10_L,Cerebelum_10_R
-0.005775956,-0.05006618,-0.032043774,0.0032573806,0.009887233,0.041402057,0.039269526,0.0030382292,-0.059759777,-0.039270606,-0.0981657,0.047982823,0.0063201,-0.012286425,0.0082951225,-0.036719818,-0.035440974,7.3363575e-05,-0.062773205,-0.015103208,-0.05122441,-0.010316152,-0.0875234,-0.023975821,-0.013038776,-0.0701381
0.30998406,0.7820115,1.0081149,0.045115847,-0.027397115,0.80195105,0.061108816,-1.714356,0.55547816,-0.753671,0.77873355,0.006344236,-0.054620568,-0.07295621,0.020387528,-0.073349275,-0.26067364,-0.28782323,0.062466856,-0.71195537,0.17836124,0.6540833,0.4652005,0.69407034,0.9285235,-0.32560772
0.4807638,0.21359524,0.43627757,0.5839523,0.39694172,-0.2409553,0.22016445,-0.13714346,-0.20028941,-0.6391956,-0.5967688,-0.16942221,0.5447445,0.93252903,0.40250903,0.33171853,-0.29793182,0.03354697,-0.19799231,-0.22109018,-0.22269319,-0.08157857,-0.4760691,0.57707757,-0.22730717,-0.485635
-0.1696516,-0.89655423,-1.3628724,0.6904243,0.31102684,-1.7387158,-0.09187259,1.349932,-0.6931788,0.03471998,-1.6011624,-0.5822379,0.41246387,0.8707881,0.09389361,0.41175467,-0.22096337,0.092729196,-0.4803955,0.58054894,-0.6429247,-1.6044058,-1.6557012,-0.44454187,-1.6366585,-0.09133906
-0.5410366,-1.2174193,-1.7031034,0.036754005,-0.26272255,-1.881673,-0.86086386,-0.47132045,0.40397733,0.36925942,-0.16417581,-0.7623685,-0.45198712,-0.65695286,-0.81594473,-0.12806275,-0.034594506,-0.47425547,-0.30212972,0.5737956,-0.023760254,-1.7125791,-0.93403435,-1.1845828,-0.84631467,0.74123216
0.5019528,-0.7760285,0.2500252,-0.4456089,-0.23280309,-1.0910565,-1.003445,-2.3821263,1.4600079,0.3389566,1.2336853,-0.12094239,-0.24792197,-0.8480701,-0.6031963,-0.29134881,0.4147687,-0.4952319,-0.017232029,0.043085013,1.2320694,0.0050917724,1.1625985,-0.79936796,1.0012386,0.988372
0.8286913,-0.16549765,1.2198228,-0.6943995,-0.2843577,-0.2681534,-0.2376777,-0.99958354,1.0443239,0.6675147,0.75983477,0.6876864,0.46948186,0.28511766,0.46393657,0.20841391,0.93947774,0.3670602,-0.16446719,-0.27687457,1.3893989,1.0516367,2.0363734,-0.23802215,1.3483394,0.17630063
-0.9116756,0.00089897,-0.59620875,-1.1570158,-1.2477359,0.27365875,0.38913336,1.3724843,0.13699512,1.13471,0.053463075,0.36419472,-0.054618746,0.022469137,0.27584967,0.46160337,0.97097176,0.90935516,-0.3407402,0.05517385,0.080391824,0.010631211,0.75069606,-0.4405533,0.22622332,-0.6370937
-1.7486898,-0.67896885,-1.9830782,-1.0818796,-1.3174647,-0.15386133,0.33384612,1.3393196,-0.20660171,0.82298845,0.07132617,-0.6692872,-0.7649725,-0.9066383,-0.8308442,0.24745418,0.28318173,0.6790376,0.012153477,0.8599118,-0.7535611,-1.1533376,-0.8445648,-0.6555588,-0.4502688,-0.28529894
-0.021448119,-1.2402205,-0.6013641,-0.07506972,0.5198779,-1.2160114,0.23165402,-0.31792298,-0.23137312,0.081938565,-0.12581071,-0.59689295,-0.22965144,-0.08261759,-0.578127,0.054913502,-0.57303405,0.39068404,0.3927668,0.9788162,0.00915819,-0.56500155,-0.7098641,-0.063460805,-0.0653164,0.6511215
